english,Word,label
11,palkon,hi
13,aasoon,hi
15,kishore,hi
17,vocal,en
20,stephen,en
36,weed,en
46,yepieee,en
50,vaidehisachin,hi
53,samjhane,hi
58,padhte,hi
60,modiji,hi
62,gazal,hi
69,place,en
70,pomendi,en
71,along,en
73,kalpesh,hi
74,salvi,hi
82,msgloveshumanity,en
86,hope,en
99,emraanhashmi,hi
103,padta,hi
108,manohar,hi
109,apologize,en
115,rameshchahal,hi
125,khor,hi
130,mehnat,hi
141,sandy,en
146,gayee,hi
152,bavalapanti,hi
153,karta,hi
162,dikhayi,hi
166,aymond,en
171,mailtosamip,en
180,hearing,en
181,angel,en
182,scamqueenonroad,en
203,kumarpresident,en
204,helpline,en
205,srkscombatant,en
206,srksaroz,en
207,srkswarrior,en
210,chaligeyi,hi
215,totaly,en
216,chutiyapa,en
217,suru,en
220,yadi,hi
227,jita,hi
228,degi,hi
231,nutanki,hi
234,meetvibe,en
242,dimaag,hi
246,kailashkher,hi
249,kashir,hi
250,herath,en
256,shashwat,hi
258,sthir,en
260,shantsalone,hi
262,utpatti,en
267,permanent,en
272,chahne,hi
277,purely,en
278,contractual,en
279,audi,hi
286,flood,en
289,lovers,en
295,growth,en
298,talentd,hi
299,banda,hi
300,jiske,hi
308,pahunch,hi
323,dainikbhaskar,hi
325,acchi,hi
326,zidd,hi
330,mukulkmishra,en
331,tumhi,hi
335,campus,en
338,hata,hi
345,dhapli,hi
347,bjate,hi
358,gharwapsi,hi
360,bdnewsorg,en
361,eight,en
362,militants,en
364,surrender,en
368,newsxeight,en
369,milit,en
371,glossary,en
373,budgetary,en
374,terms,en
379,mahashivrathiri,en
388,pavan,hi
391,param,hi
392,sant,en
394,asaram,en
398,charano,hi
402,koti,hi
405,expectations,en
406,dikaho,hi
411,recently,en
412,allowed,en
417,automatic,en
420,medical,en
421,devices,en
422,pharmaceuticals,en
426,celebtrains,en
428,padhaai,hi
432,paati,hi
440,taurus,hi
441,sarahzaki,hi
442,bachon,hi
445,somwar,en
449,pati,hi
453,suwami,hi
456,hen,hi
457,muft,en
459,advice,en
464,shortly,en
467,presenting,en
470,behenchod,en
472,celeb,en
473,shikar,hi
481,imtiyazazhar,hi
485,misled,en
488,propaganda,en
492,antiindia,en
493,forces,en
496,outside,en
502,directly,en
512,hasina,hi
513,biopic,en
521,riyasobti,hi
524,vii,hi
527,haii,hi
529,mosessapir,en
533,yash,hi
541,nickhunterr,en
546,faster,en
551,kaisa,hi
558,shivaala,hi
560,lalitvijay,en
561,aayenge,hi
564,neeerajbadhwar,hi
565,marines,en
566,mercilessly,en
569,fishermen,en
574,patriotic,en
577,feelng,en
579,hawai,hi
580,aftr,en
582,packs,en
593,lov,en
615,tmrw,en
616,yesiamsaffron,en
617,aditispeaks,en
618,rssorg,en
620,swim,en
621,giabby,en
623,rasa,hi
624,sentosa,en
625,resort,en
631,aankhen,hi
633,probably,en
635,directed,en
637,aneez,en
638,bazmi,hi
639,rogers,en
640,potentialpathin,en
641,madrid,en
643,bye,en
645,thiem,en
646,murray,en
648,allezroger,en
651,outcry,en
659,sayingkya,hi
666,baith,hi
677,kay,hi
679,banay,hi
681,es,hi
682,mulak,hi
686,takdeer,hi
687,likh,hi
697,ivarkum,en
698,therichirukku,en
701,shyamkkumar,hi
702,twistedbollywooddialogues,en
705,lag,hi
722,schedule,en
731,panoramma,en
732,mode,en
735,larkiya,hi
736,block,en
738,marte,hi
753,grp,en
755,bada,hi
764,owner,en
766,almas,en
768,sibling,en
786,declare,en
791,scoopwhoop,en
795,maika,hi
799,ihsavru,en
800,pruthapartha,hi
802,fever,en
812,pagalo,hi
814,nakli,hi
816,aajtak,hi
818,ank,hi
819,gin,hi
834,asot,en
839,thevoiceofgaia,en
840,taken,en
847,stupid,en
849,considering,en
851,aging,en
852,population,en
854,lack,en
857,manual,en
858,labor,en
859,force,en
864,mainezindagi,hi
870,gam,hi
878,aajao,hi
879,rekhta,hi
880,isro,en
884,replacing,en
885,pslv,en
892,relaunched,en
896,rahulrally,en
897,rahulreturns,en
898,pappufarce,en
912,asnushka,hi
914,pk,hi
916,guy,en
919,krti,hi
923,badla,hi
928,parvatis,en
930,wid,en
932,hpy,en
933,lifeoktv,en
935,shuvankr,en
936,karorpati,hi
938,kharid,hi
939,sakenge,hi
940,guess,en
942,sena,en
947,cst,en
951,chhratrapati,en
952,station,en
955,periscope,en
957,chandigarh,hi
959,expose,en
960,onleave,en
964,tumhaara,hi
967,maybe,en
968,jis,hi
969,jamhooriyat,hi
972,bachaane,hi
973,nikli,hi
975,janaabeaali,hi
980,sarkaar,hi
984,dhajjiyaan,hi
985,uda,hi
988,notusinghashtag,hi
989,dervishious,en
994,rahee,hi
996,walay,hi
999,strong,en
1001,zardare,hi
1003,mufahimat,hi
1004,kara,hi
1007,bhe,hi
1008,lagam,hi
1010,rahulreply,en
1012,few,en
1016,derasachasaudas,hi
1031,tumpe,hi
1033,agya,hi
1046,konya,hi
1047,milk,hi
1053,hhhuuuurrraayyyyy,en
1060,safe,en
1063,kiranbedi,hi
1064,abkibaarbedisarkaar,hi
1066,murderous,en
1067,assault,en
1070,driver,en
1073,attackers,en
1075,carrying,en
1076,pistol,en
1077,kartar,hi
1080,bevkuf,en
1084,banne,hi
1089,iska,hi
1098,hardhik,hi
1099,shubhkamnayy,hi
1103,galey,hi
1105,chain,en
1108,kadaa,hi
1109,sar,hi
1112,topi,hi
1113,ghutno,hi
1117,chaddi,hi
1118,abbey,hi
1119,gareebon,hi
1121,cent,en
1122,gym,en
1128,gaane,hi
1129,bc,hi
1131,infant,en
1132,mortality,en
1139,births,en
1141,gujju,en
1142,babies,en
1143,die,en
1146,mallu,en
1151,jasumatipatel,en
1157,jasumati,en
1159,shruti,hi
1164,anbe,en
1165,sivam,en
1167,voice,en
1168,happybirthdayshrutihassan,hi
1172,vishwanath,en
1180,pms,en
1182,demands,en
1186,senior,en
1187,bharatiya,hi
1188,janata,hi
1193,mehak,hi
1197,fiza,hi
1205,kyanat,hi
1212,theirfanism,en
1213,cricketwallah,en
1215,khawaja,hi
1216,likhe,hi
1217,wanna,hi
1218,uzkhawaja,hi
1219,bura,hi
1223,kalakaaar,hi
1226,mimicking,en
1227,buffalo,en
1241,hathon,hi
1243,dafnaa,hi
1249,qabar,hi
1253,redefined,en
1255,arachakammm,hi
1256,starsportsindia,en
1257,matchpoint,en
1259,opener,en
1260,ajinkiya,hi
1262,consistent,en
1263,effective,en
1264,trustworthy,en
1265,classy,en
1270,kom,hi
1273,samjhao,hi
1275,atankwadi,hi
1276,banna,hi
1277,choad,hi
1284,diwali,hi
1293,uk,en
1301,anthem,en
1302,slvsind,en
1309,swaach,hi
1314,implemented,en
1317,cleanliness,en
1325,shubhkaamnaye,hi
1330,trade,en
1332,valid,en
1335,rise,en
1338,dip,hi
1340,adding,en
1344,worth,en
1345,celebrating,en
1350,sadiq,hi
1355,mayor,en
1360,londoners,en
1363,irrelevan,en
1365,muji,hi
1368,sajde,hi
1369,amrah,hi
1371,gar,hi
1373,nihange,hi
1374,ajdaho,hi
1375,sere,hi
1376,nar,hi
1381,divinesoulamit,en
1386,jii,hi
1388,sudhirchaudhary,hi
1394,centrestage,en
1395,once,en
1396,agn,en
1398,original,en
1402,brought,en
1403,patriotism,en
1407,laptop,en
1408,buy,en
1414,specification,en
1416,bettery,en
1417,backup,en
1418,acha,hi
1420,plzz,en
1423,inshallah,en
1432,baddua,hi
1433,lgy,hi
1434,gi,hi
1436,bhenc,hi
1439,tavleensingh,en
1440,anurag,en
1441,thakur,hi
1442,asked,en
1451,those,en
1453,saved,en
1454,parliament,en
1462,lakkha,hi
1466,modernize,en
1467,infrastructure,en
1470,financially,en
1471,selfsustainable,en
1473,kyaa,hi
1474,kool,en
1480,tusshar,hi
1482,karimi,hi
1483,rapping,en
1486,honey,en
1492,doston,en
1493,bhaiayon,hi
1495,bahno,hi
1503,berojgaron,en
1506,dunga,hi
1510,thakurpops,en
1511,vaibysays,hi
1512,hahahhaa,hi
1515,daadi,hi
1517,tinka,hi
1519,welcoming,en
1520,prem,en
1522,premratandhanpayo,en
1523,postprocessing,en
1529,normal,en
1530,routine,en
1531,dala,hi
1532,chawal,hi
1533,roti,hi
1543,khuga,hi
1546,maaa,hi
1548,dii,hi
1549,waking,en
1558,ritual,en
1560,republicday,en
1562,mine,en
1563,epic,en
1567,sansadchalnedo,hi
1569,tahershah,hi
1573,logu,hi
1579,fir,hi
1580,usnay,hi
1581,aqal,hi
1582,bech,hi
1599,tumhein,hi
1601,khak,hi
1603,lagega,hi
1608,needlessly,en
1609,long,en
1612,irritating,en
1613,interpreters,en
1614,consolation,en
1623,abeer,hi
1625,gulaal,hi
1629,rahane,hi
1630,karthik,hi
1631,ashwin,en
1633,bhuvneshwar,hi
1640,deesh,hi
1648,dare,hi
1651,fingers,en
1652,upon,en
1656,humare,hi
1661,exasperating,en
1662,ammi,hi
1665,tatti,hi
1668,lala,hi
1670,gyo,hi
1672,roasted,en
1680,masha,hi
1682,aattttt,hi
1692,mua,hi
1695,mehbooba,hi
1696,mufti,en
1699,sworn,en
1712,boycott,en
1713,ceremony,en
1720,chalegi,hi
1726,haryana,hi
1732,muktesvara,en
1735,century,en
1739,bhubaneshwar,hi
1744,wicket,en
1756,uppar,en
1760,oyerjalok,en
1763,rockkkkk,en
1765,cookingggggggg,en
1766,therock,en
1768,priyankachopra,en
1773,baywatchmovie,en
1775,womens,en
1778,wuss,en
1780,womensday,en
1783,virendersehwag,en
1795,pan,hi
1808,sucche,hi
1816,modifearskejriwal,en
1817,desertbedouin,en
1818,ishrat,en
1823,prathmeshsawant,en
1825,confused,en
1829,rpg,en
1835,arunachal,hi
1837,takshakspeaks,hi
1838,garmi,hi
1839,badh,hi
1850,dobara,hi
1851,vancouver,en
1852,nagar,hi
1853,kirtan,hi
1855,kuj,hi
1857,msgthoughts,en
1858,wooooov,en
1869,friends,en
1870,mb,hi
1871,jaydipjarsaniya,hi
1872,paai,hi
1876,kabool,hi
1880,thankyouuu,en
1881,soo,en
1901,bawa,hi
1905,particular,en
1910,bhagwanji,hi
1912,yaadh,hi
1915,ganeshchaturthi,hi
1918,adventure,en
1919,samajh,hi
1921,aata,hi
1922,motabhai,hi
1923,bane,hi
1926,roadie,hi
1927,king,en
1935,poorbitour,en
1936,kapilash,hi
1938,hideeps,en
1939,arey,hi
1942,khaas,hi
1943,twamily,en
1949,krungi,hi
1951,kamaal,hi
1956,excited,en
1957,newslaundry,en
1962,whr,en
1963,kanaihya,hi
1969,sub,hi
1970,judice,en
1976,rithvik,en
1978,asha,hi
1980,havan,hi
1981,khas,hi
1983,dekhiyega,hi
1986,sbb,hi
1988,baje,hi
1991,corruption,en
1998,cracks,en
2004,igbutt,en
2021,slammed,en
2022,dharnas,hi
2028,sat,hi
2030,dharna,hi
2031,himself,en
2033,sbi,hi
2034,exited,en
2037,harega,hi
2038,aree,en
2041,nai,hi
2053,bne,hi
2062,partnerships,en
2065,paaji,hi
2069,reply,en
2084,mtvroadies,en
2087,personalties,en
2091,chiplun,en
2094,km,hi
2096,rupess,en
2097,planned,en
2098,investment,en
2100,integratedme,en
2101,sleep,en
2104,shape,en
2113,solution,en
2115,chodte,hi
2119,agitation,en
2125,barbaadi,hi
2129,dhonis,en
2135,asiacuptfinal,en
2146,decide,en
2147,shift,en
2152,ele,en
2156,vegi,en
2160,mufler,en
2162,cough,en
2163,syrup,en
2164,haa,hi
2172,predicted,en
2175,playoff,en
2180,virat,en
2184,russell,en
2201,dust,en
2202,pollution,en
2205,eliminated,en
2208,inches,en
2210,mud,en
2212,cleaned,en
2214,sides,en
2218,beeroholic,en
2220,videos,en
2223,lose,en
2227,view,en
2234,selfieking,en
2235,devarsh,en
2236,kids,en
2237,bhavnagar,hi
2243,follow,en
2248,nitishkumar,hi
2256,jiyge,en
2257,marge,en
2259,mitege,en
2262,aan,hi
2264,shan,hi
2268,buraliyo,hi
2270,khatma,hi
2271,khrne,hi
2273,liy,en
2281,gyaa,hi
2284,shubkamnayein,hi
2286,adiyogi,hi
2293,grace,en
2299,disciplinary,en
2300,committee,en
2302,expelled,en
2303,yogendra,en
2304,prashant,en
2305,bhushan,hi
2307,anand,en
2313,mehrtarar,hi
2314,kash,hi
2322,thok,hi
2323,diyaaaa,hi
2326,kayakalp,hi
2331,upgradation,en
2335,daysmsg,en
2340,kanhaiyajnusu,hi
2344,payega,hi
2348,bcgiri,hi
2352,rinkkyy,en
2353,hiii,en
2358,yssss,en
2360,mene,hi
2363,rinkuu,en
2365,bahot,hi
2367,baaad,hi
2370,hamko,hi
2371,iambhavya,hi
2373,padhai,hi
2375,writer,en
2382,waqt,hi
2385,eng,en
2391,tumhara,hi
2410,muktimohanweb,en
2414,thisismukti,en
2415,mohanshakti,hi
2417,mufcnewsuk,en
2418,drumlanrig,en
2420,sadomasochism,en
2423,library,en
2424,wassupmusicvideo,en
2425,baytahminizliyoruz,en
2427,funeral,en
2430,chiefs,en
2431,mother,en
2432,amitabh,hi
2442,salman,hi
2446,seth,hi
2447,farjiwaal,hi
2448,khaansiwaal,hi
2457,superman,en
2461,trimbakeshwar,en
2470,jb,hi
2472,khattr,hi
2475,milo,hi
2478,bs,hi
2480,keh,hi
2484,smjh,hi
2485,jayenge,hi
2487,renamed,en
2489,domain,en
2491,seminudedotcom,en
2495,bills,en
2496,slashes,en
2506,lee,hi
2508,leader,en
2511,suryatejborra,en
2517,artoflivingabc,en
2519,srisri,en
2521,deccanchronicle,en
2522,apologies,en
2527,disappointment,en
2530,andhrite,en
2532,sud,en
2533,save,en
2536,forced,en
2537,unequal,en
2538,division,en
2542,shivrati,hi
2546,held,en
2548,overseas,en
2549,mbbs,en
2550,admission,en
2551,fraud,en
2553,salem,en
2558,mrng,en
2561,suno,hi
2563,mndir,hi
2568,mangoge,en
2570,milega,hi
2574,dhang,hi
2576,maaro,hi
2579,deespeak,hi
2581,peda,hi
2586,pala,hi
2597,jhel,hi
2602,incredible,en
2609,kejriwals,en
2610,principal,en
2611,secy,en
2615,falling,en
2623,blessings,en
2625,launching,en
2626,products,en
2629,health,en
2638,aishwarya,hi
2639,rai,hi
2641,omung,en
2647,jadejaa,hi
2657,topic,en
2661,faltu,hi
2663,ilzam,en
2664,lagana,hi
2671,samay,hi
2672,betwana,hi
2674,ill,en
2677,eastwoodmcfly,en
2678,schumers,en
2680,acceptance,en
2682,goldenglobes,en
2685,apke,hi
2694,kamnaye,hi
2697,national,en
2704,viralsdaily,en
2707,chak,hi
2709,mushfiqurs,en
2715,gif,en
2719,count,en
2721,chickens,en
2724,hatch,en
2727,plural,en
2732,absolute,en
2733,luck,en
2737,indies,en
2738,nimrah,en
2739,aisy,en
2740,relationships,en
2742,breakup,en
2745,chahy,hi
2747,gudmorning,en
2749,gudnigh,hi
2751,mauhtaj,hi
2752,hn,hi
2753,sh,hi
2760,technology,en
2762,isuzu,en
2763,dmax,en
2767,rs,en
2769,vcross,en
2772,automakers,en
2773,adve,en
2779,mrityunjay,en
2780,mahadev,en
2781,namosthuthe,en
2783,imvkohlisangel,en
2784,cutuuuuu,en
2785,thankuuuu,en
2789,sudtyagi,en
2790,riteshsid,en
2791,choriyan,en
2792,pahn,en
2794,farhan,hi
2796,ritesh,en
2797,begairato,en
2798,tumhari,hi
2800,cenima,en
2806,milne,hi
2808,ajaye,hi
2811,ir,en
2812,kuple,en
2813,occupygezi,en
2814,direngeziparkigeliyoruz,en
2815,yandasmedyalimonsatonurluyasa,en
2816,nahipata,hi
2817,sohni,hi
2829,lana,hi
2831,rd,en
2832,tym,en
2835,sunday,en
2840,deewani,hi
2841,bra,en
2842,pahna,hi
2846,umesalmaa,en
2851,rameshsrivats,en
2854,bangalore,en
2856,approximately,en
2864,gratitudetoallmothers,en
2871,lot,en
2872,thatcricketingmoment,en
2874,starts,en
2877,dismissals,en
2880,itsyaboyladin,en
2892,insanpaul,en
2895,followers,en
2901,sake,hi
2906,photowalks,en
2909,gthr,en
2910,suppa,en
2911,photowok,en
2913,dadar,en
2915,mehulgohil,en
2916,thesynergy,en
2917,wokthiswayindia,en
2918,zzoker,en
2920,means,en
2921,apka,hi
2923,katna,hi
2924,tay,en
2931,bhale,hi
2933,badan,hi
2935,juda,hi
2937,hoke,hi
2938,hamesha,hi
2940,rehna,hi
2943,kehna,hi
2944,alvida,hi
2949,avsar,hi
2951,milabati,hi
2955,vyakti,hi
2956,bimar,hi
2959,jinhe,hi
2960,jile,hi
2962,vibhin,en
2965,admit,en
2966,hona,hi
2968,royalthough,en
2969,baaraat,hi
2986,lalettanboys,en
2992,thala,hi
2994,tamil,en
2996,vishnuvardhan,en
3003,narration,en
3004,harysforu,en
3005,unmatchable,en
3006,energy,en
3007,eyyyyy,en
3009,balayya,hi
3011,andhraboxoffice,en
3014,actornithiin,en
3015,daretozlaataan,hi
3017,ummeed,en
3019,rkho,hi
3020,drunkvinodmehta,en
3021,havai,hi
3022,yatra,hi
3024,yad,hi
3026,kahi,hi
3030,patil,en
3049,blaming,en
3058,gouravgg,en
3061,woww,en
3065,sewadar,hi
3071,krte,hi
3076,million,en
3077,ghuse,hi
3078,pade,hi
3080,diplomacy,en
3084,jeena,hi
3085,haram,hi
3092,zardari,hi
3096,statement,en
3097,bhakts,hi
3099,wait,en
3102,braille,en
3107,retire,en
3112,thankyousachin,hi
3117,hottie,en
3121,wajse,hi
3124,aaha,hi
3129,sumitverma,en
3138,kaamchori,hi
3139,mismanagementnonsensical,en
3140,rules,en
3143,sums,en
3146,indian,en
3159,centurykant,en
3161,respect,en
3164,woman,en
3173,aum,hi
3176,tatsat,hi
3179,jsingh,en
3181,shatyuvma,en
3183,cuteinsan,en
3185,msgcroreclub,en
3187,craze,en
3189,ms,en
3192,chintan,en
3194,himalayas,en
3195,singing,en
3201,suspensions,en
3203,model,en
3204,gizele,en
3205,thakrals,en
3206,leaked,en
3207,uncensored,en
3208,photoshoot,en
3215,gizelethakral,en
3223,aditityagi,en
3224,praveenpandram,en
3225,zeenews,en
3229,gadi,hi
3233,chalai,hi
3235,jam,hi
3246,kalayan,hi
3247,cess,en
3248,imposition,en
3251,reconsider,en
3255,jawaani,hi
3258,kalki,hi
3259,koechlin,en
3269,murad,hi
3272,dua,hi
3280,iltaza,hi
3281,hmri,hi
3286,john,hi
3287,jani,hi
3288,tara,hi
3289,rum,hi
3291,pum,hi
3293,airlifted,en
3297,ndrf,en
3298,teams,en
3301,columns,en
3307,justeditorials,en
3316,mc,en
3326,darpok,en
3328,sent,en
3329,gvlnrao,en
3331,press,en
3332,conference,en
3334,z,en
3336,prasad,hi
3337,bintasweet,en
3339,kene,hi
3340,yaaar,hi
3342,hurts,en
3344,lifetime,en
3351,karogi,hi
3355,tht,en
3356,politicns,en
3358,praised,en
3360,bigheroes,en
3364,hear,en
3366,saurabhmlagk,hi
3367,helpd,en
3370,basketball,en
3371,cou,en
3372,stuffcool,en
3373,appoints,en
3374,linteractive,en
3378,partner,en
3379,brandequity,en
3380,mllgroup,en
3381,lowe,en
3384,progeria,en
3387,restinpeace,en
3395,mekitni,hi
3396,ladkiya,hi
3399,mekaun,hi
3402,gautamverma,en
3407,cos,en
3414,commentator,en
3423,watermelon,en
3435,anaaval,hi
3436,shukaleshwar,hi
3440,oldest,en
3441,swayambhu,hi
3442,ling,en
3444,bhagwaan,hi
3451,shubha,hi
3452,kamanaye,hi
3453,arifeenibad,en
3455,baaz,hi
3460,nhaye,hi
3462,thnd,en
3468,nonmarathi,en
3469,girl,en
3472,kiss,hi
3474,thackeray,en
3476,suit,en
3479,muffler,en
3480,bhaari,hi
3486,sbko,hi
3487,dhara,hi
3488,shai,hi
3492,gavran,en
3493,chicken,en
3494,fish,en
3495,fry,en
3496,ghotawade,hi
3497,gaon,hi
3498,near,en
3500,phase,en
3501,punefoodiez,en
3503,msgsaysequalitytoall,en
3510,vipulupasani,en
3511,hari,hi
3513,gurumauli,en
3514,really,en
3515,greatest,en
3516,program,en
3517,icing,en
3519,satsang,en
3523,importance,en
3534,badhaai,hi
3538,mothersday,en
3541,earthangel,en
3545,jayabachchan,hi
3548,mohit,en
3549,exemplary,en
3559,wd,en
3560,praveen,en
3561,kumars,en
3564,kchowdhury,en
3565,boycottraees,en
3567,chorna,hi
3568,nehi,hi
3572,theory,en
3576,chalta,hi
3579,bizarre,hi
3582,karwa,hi
3588,focusnewsindia,en
3589,lok,hi
3591,speaker,en
3592,sumitra,en
3596,jyotiraditya,en
3597,adjournment,en
3598,motion,en
3605,researchers,en
3611,etymological,en
3612,origin,en
3615,tripurasundaritemple,en
3617,agartala,hi
3621,peeths,en
3622,constructed,en
3624,piersmorgan,en
3625,trendspune,en
3627,thought,en
3629,followed,en
3631,sahara,hi
3632,pune,hi
3633,warriors,en
3638,superstar,en
3640,agarkar,hi
3643,megastar,en
3644,munaf,en
3645,patel,en
3647,remove,en
3648,hashim,en
3649,proteafire,en
3659,aage,hi
3660,badho,hi
3666,drdheerajjain,hi
3668,konsi,hi
3669,flop,en
3673,ranaayyub,hi
3675,aunty,en
3678,tweeting,en
3680,sense,en
3687,baizti,hi
3692,mustafizur,en
3697,bowler,en
3704,mcgrath,en
3705,legendinmaking,en
3707,haramzada,hi
3709,harami,hi
3713,stillmsgeverywhere,en
3722,guruji,en
3726,reacts,en
3733,youteeee,en
3737,hillarious,en
3739,gea,en
3741,espncricinfo,en
3742,icymi,en
3748,mohali,en
3753,story,en
3755,wivszim,en
3756,gayle,en
3759,tcnlive,en
3761,discussions,en
3764,rubruratri,en
3765,twtratri,en
3767,zoron,en
3768,ce,en
3769,chl,hi
3771,msgratri,en
3781,nets,en
3782,kebaadkarenge,hi
3785,traditional,en
3787,killing,en
3792,dheron,hi
3797,umr,hi
3798,lmbi,hi
3810,left,en
3817,uske,hi
3823,waah,hi
3825,rangeele,en
3849,could,en
3850,sue,en
3852,copyright,en
3853,infringement,en
3855,babaji,hi
3857,thullu,en
3858,atletidekolkata,hi
3859,hume,hi
3860,anto,hi
3861,rafique,en
3862,doutie,en
3871,usme,hi
3873,quota,en
3876,dino,hi
3877,unlimited,en
3881,nitingadkari,hi
3883,queue,en
3886,nagpurdelhi,en
3887,flight,en
3889,any,en
3891,ordinary,en
3894,aam,hi
3895,aadmi,hi
3900,ae,hi
3903,yo,hi
3905,click,en
3911,personalized,en
3912,digital,en
3913,autograph,en
3914,anirudhchaudhry,hi
3917,initiatives,en
3919,skill,en
3921,sureshpprabhu,en
3923,hoezaay,hi
3924,misheardlyrics,en
3925,weds,en
3928,rahbar,hi
3931,server,en
3934,akhbar,hi
3945,sahido,hi
3947,cr,en
3948,milege,en
3951,kejricroffer,en
3958,carrot,en
3959,ghee,hi
3961,palak,hi
3962,tawa,hi
3963,rice,en
3968,republic,en
3972,sharmilichudail,en
3973,hoshwalon,hi
3977,anaesthesia,hi
3979,cheez,hi
3983,utsav,en
3995,sadaiv,hi
3996,bani,hi
4000,theatrical,en
4009,cholaa,hi
4012,aaja,hi
4013,ve,hi
4015,deepanchor,en
4019,wonderful,en
4021,meet,en
4027,fed,en
4035,thedeccanherald,en
4038,soon,en
4041,mkvenu,en
4045,mahasabha,hi
4046,marks,en
4048,killer,en
4049,nathuram,en
4052,hanged,en
4054,swatch,en
4059,jehadis,en
4061,torn,en
4062,apart,en
4064,dumped,en
4065,ajit,en
4071,hind,hi
4072,celebrations,en
4076,moderate,en
4079,gachibowli,en
4080,iamkavitharao,hi
4089,comon,en
4090,boyz,en
4099,fielding,en
4102,jiski,hi
4103,wajase,hi
4105,khelrahahe,hi
4106,unhi,hi
4111,paki,hi
4112,grnd,en
4114,canten,en
4115,kholke,hi
4116,baithta,hi
4118,villages,en
4120,priority,en
4123,panchayati,hi
4127,nmapp,en
4128,iyc,en
4134,rg,en
4136,mana,hi
4139,sharm,hi
4148,tweetsbysehar,en
4150,mohabbat,hi
4152,majboor,hi
4158,sawab,hi
4161,urdupoetry,en
4162,govts,en
4163,redressal,en
4165,takes,en
4167,social,en
4169,route,en
4170,mukul,en
4172,hitesh,hi
4173,khatpalani,hi
4174,barnwal,en
4178,liked,en
4183,vannarapettai,hi
4186,pazhaya,hi
4188,quarterfinal,en
4194,kyonki,hi
4196,quarter,hi
4201,usko,hi
4205,uthte,hi
4212,visa,hi
4229,yrs,en
4233,goes,en
4236,dravid,en
4238,zaheer,hi
4242,agree,en
4243,welldonedelhidaredevils,en
4244,gracefulkiru,en
4245,goon,en
4246,noon,en
4247,kudiyon,hi
4249,jasdeepinsan,en
4252,thnku,en
